Col_ID,Section,Display_to_Users,In_Final_Individual_Dataset,Dropped_or_Not_Displayed_Reason,Manual_Display_Type,Processed_Data_Type,Short_Label,WVS_Variable_Title,Question_Text,Additional_Text,Original_Response_Options_Including_Missing,Processed_Response_Values,Processing_Notes,Missing_Data_Handling,ColLab,Source
Q60,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",False,False,Not selected for display in Variable_Display_Logical.,factor_ordered,ordered numeric in indiv_ordinal; ordered factor in intermediate indiv,Trust in people you know personally,Trust: People you know personally,"I ‘d like to ask you how much you trust people from various groups. Could you tell me for each whether you trust people from this group completely, somewhat, not very much or not at all? People you know personally",,1 = Trust completely; 2 = Trust somewhat; 3 = Do not trust very much; 4 = Do not trust at all; -1 = Don't know; -2 = No answer; -4 = Not asked; -5 = Missing; Not available,1 = Trust completely (original 1); 2 = Trust somewhat (original 2); 3 = Do not trust very much (original 3); 4 = Do not trust at all (original 4),"Haven labelled values converted to an ordered factor, then ordered factors are converted to ordinal integers with negative missing codes set to NA.","Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q60-Trust: People you know personally,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q61,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",False,False,Not selected for display in Variable_Display_Logical.,factor_ordered,ordered numeric in indiv_ordinal; ordered factor in intermediate indiv,Trust in people you meet for the first time,Trust: People you meet for the first time,"I ‘d like to ask you how much you trust people from various groups. Could you tell me for each whether you trust people from this group completely, somewhat, not very much or not at all? People you meet for the first time",,1 = Trust completely; 2 = Trust somewhat; 3 = Do not trust very much; 4 = Do not trust at all; -1 = Don't know; -2 = No answer; -4 = Not asked; -5 = Missing; Not available,1 = Trust completely (original 1); 2 = Trust somewhat (original 2); 3 = Do not trust very much (original 3); 4 = Do not trust at all (original 4),"Haven labelled values converted to an ordered factor, then ordered factors are converted to ordinal integers with negative missing codes set to NA.","Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q61-Trust: People you meet for the first time,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q62,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",False,False,Not selected for display in Variable_Display_Logical.,factor_ordered,ordered numeric in indiv_ordinal; ordered factor in intermediate indiv,Trust in people of another religion,Trust: People of another religion,"I ‘d like to ask you how much you trust people from various groups. Could you tell me for each whether you trust people from this group completely, somewhat, not very much or not at all? People of another religion",,1 = Trust completely; 2 = Trust somewhat; 3 = Do not trust very much; 4 = Do not trust at all; -1 = Don't know; -2 = No answer; -4 = Not asked; -5 = Missing; Not available,1 = Trust completely (original 1); 2 = Trust somewhat (original 2); 3 = Do not trust very much (original 3); 4 = Do not trust at all (original 4),"Haven labelled values converted to an ordered factor, then ordered factors are converted to ordinal integers with negative missing codes set to NA.","Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q62-Trust: People of another religion,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q63,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",False,False,Not selected for display in Variable_Display_Logical.,factor_ordered,ordered numeric in indiv_ordinal; ordered factor in intermediate indiv,Trust in people of another nationality,Trust: People of another nationality,"I ‘d like to ask you how much you trust people from various groups. Could you tell me for each whether you trust people from this group completely, somewhat, not very much or not at all? People of another nationality",,1 = Trust completely; 2 = Trust somewhat; 3 = Do not trust very much; 4 = Do not trust at all; -1 = Don't know; -2 = No answer; -4 = Not asked; -5 = Missing; Not available,1 = Trust completely (original 1); 2 = Trust somewhat (original 2); 3 = Do not trust very much (original 3); 4 = Do not trust at all (original 4),"Haven labelled values converted to an ordered factor, then ordered factors are converted to ordinal integers with negative missing codes set to NA.","Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q63-Trust: People of another nationality,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q64,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",False,False,Not selected for display in Variable_Display_Logical.,factor_ordered,ordered numeric in indiv_ordinal; ordered factor in intermediate indiv,Confidence in churches,Confidence: Churches,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The Churches (mosque, temple etc.)",Variable tailoured to local context,1 = A great deal; 2 = Quite a lot; 3 = Not very much; 4 = None at all; -1 = Don't know; -2 = No answer; -4 = Not asked; -5 = Missing; Not available,1 = A great deal (original 1); 2 = Quite a lot (original 2); 3 = Not very much (original 3); 4 = None at all (original 4),"Haven labelled values converted to an ordered factor, then ordered factors are converted to ordinal integers with negative missing codes set to NA.","Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q64-Confidence: Churches,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q65,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",False,False,Not selected for display in Variable_Display_Logical.,factor_ordered,ordered numeric in indiv_ordinal; ordered factor in intermediate indiv,Confidence in the armed forces,Confidence: Armed Forces,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The armed forces",,1 = A great deal; 2 = Quite a lot; 3 = Not very much; 4 = None at all; -1 = Don't know; -2 = No answer; -4 = Not asked; -5 = Missing; Not available,1 = A great deal (original 1); 2 = Quite a lot (original 2); 3 = Not very much (original 3); 4 = None at all (original 4),"Haven labelled values converted to an ordered factor, then ordered factors are converted to ordinal integers with negative missing codes set to NA.","Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q65-Confidence: Armed Forces,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q66,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",False,False,Not selected for display in Variable_Display_Logical.,factor_ordered,ordered numeric in indiv_ordinal; ordered factor in intermediate indiv,Confidence in the press,Confidence: The Press,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The press",,1 = A great deal; 2 = Quite a lot; 3 = Not very much; 4 = None at all; -1 = Don't know; -2 = No answer; -4 = Not asked; -5 = Missing; Not available,1 = A great deal (original 1); 2 = Quite a lot (original 2); 3 = Not very much (original 3); 4 = None at all (original 4),"Haven labelled values converted to an ordered factor, then ordered factors are converted to ordinal integers with negative missing codes set to NA.","Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q66-Confidence: The Press,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q67,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",False,False,Not selected for display in Variable_Display_Logical.,factor_ordered,ordered numeric in indiv_ordinal; ordered factor in intermediate indiv,Confidence in television,Confidence: Television,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? Television",,1 = A great deal; 2 = Quite a lot; 3 = Not very much; 4 = None at all; -1 = Don't know; -2 = No answer; -4 = Not asked; -5 = Missing; Not available,1 = A great deal (original 1); 2 = Quite a lot (original 2); 3 = Not very much (original 3); 4 = None at all (original 4),"Haven labelled values converted to an ordered factor, then ordered factors are converted to ordinal integers with negative missing codes set to NA.","Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q67-Confidence: Television,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q68,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",False,False,Not selected for display in Variable_Display_Logical.,factor_ordered,ordered numeric in indiv_ordinal; ordered factor in intermediate indiv,Confidence in labor unions,Confidence: Labor Unions,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? Labour Unions",,1 = A great deal; 2 = Quite a lot; 3 = Not very much; 4 = None at all; -1 = Don't know; -2 = No answer; -4 = Not asked; -5 = Missing; Not available,1 = A great deal (original 1); 2 = Quite a lot (original 2); 3 = Not very much (original 3); 4 = None at all (original 4),"Haven labelled values converted to an ordered factor, then ordered factors are converted to ordinal integers with negative missing codes set to NA.","Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q68-Confidence: Labor Unions,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q69,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",False,False,Not selected for display in Variable_Display_Logical.,factor_ordered,ordered numeric in indiv_ordinal; ordered factor in intermediate indiv,Confidence in the police,Confidence: The Police,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The police",,1 = A great deal; 2 = Quite a lot; 3 = Not very much; 4 = None at all; -1 = Don't know; -2 = No answer; -4 = Not asked; -5 = Missing; Not available,1 = A great deal (original 1); 2 = Quite a lot (original 2); 3 = Not very much (original 3); 4 = None at all (original 4),"Haven labelled values converted to an ordered factor, then ordered factors are converted to ordinal integers with negative missing codes set to NA.","Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q69-Confidence: The Police,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q70,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",False,False,Not selected for display in Variable_Display_Logical.,factor_ordered,ordered numeric in indiv_ordinal; ordered factor in intermediate indiv,Confidence in the courts,Confidence: Justice System/Courts,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The courts",,1 = A great deal; 2 = Quite a lot; 3 = Not very much; 4 = None at all; -1 = Don't know; -2 = No answer; -4 = Not asked; -5 = Missing; Not available,1 = A great deal (original 1); 2 = Quite a lot (original 2); 3 = Not very much (original 3); 4 = None at all (original 4),"Haven labelled values converted to an ordered factor, then ordered factors are converted to ordinal integers with negative missing codes set to NA.","Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q70-Confidence: Justice System/Courts,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q71,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",False,False,Not selected for display in Variable_Display_Logical.,factor_ordered,ordered numeric in indiv_ordinal; ordered factor in intermediate indiv,Confidence in the government,Confidence: The Government,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The government (in your nation's capital)",,1 = A great deal; 2 = Quite a lot; 3 = Not very much; 4 = None at all; -1 = Don't know; -2 = No answer; -4 = Not asked; -5 = Missing; Not available,1 = A great deal (original 1); 2 = Quite a lot (original 2); 3 = Not very much (original 3); 4 = None at all (original 4),"Haven labelled values converted to an ordered factor, then ordered factors are converted to ordinal integers with negative missing codes set to NA.","Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q71-Confidence: The Government,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q72,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",False,False,Not selected for display in Variable_Display_Logical.,factor_ordered,ordered numeric in indiv_ordinal; ordered factor in intermediate indiv,Confidence in political parties,Confidence: The Political Parties,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? Political Parties",,1 = A great deal; 2 = Quite a lot; 3 = Not very much; 4 = None at all; -1 = Don't know; -2 = No answer; -4 = Not asked; -5 = Missing; Not available,1 = A great deal (original 1); 2 = Quite a lot (original 2); 3 = Not very much (original 3); 4 = None at all (original 4),"Haven labelled values converted to an ordered factor, then ordered factors are converted to ordinal integers with negative missing codes set to NA.","Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q72-Confidence: The Political Parties,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q73,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",False,False,Not selected for display in Variable_Display_Logical.,factor_ordered,ordered numeric in indiv_ordinal; ordered factor in intermediate indiv,Confidence in parliament,Confidence: Parliament,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? Parliament",,1 = A great deal; 2 = Quite a lot; 3 = Not very much; 4 = None at all; -1 = Don't know; -2 = No answer; -4 = Not asked; -5 = Missing; Not available,1 = A great deal (original 1); 2 = Quite a lot (original 2); 3 = Not very much (original 3); 4 = None at all (original 4),"Haven labelled values converted to an ordered factor, then ordered factors are converted to ordinal integers with negative missing codes set to NA.","Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q73-Confidence: Parliament,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q74,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",False,False,Not selected for display in Variable_Display_Logical.,factor_ordered,ordered numeric in indiv_ordinal; ordered factor in intermediate indiv,Confidence in the civil service,Confidence: The Civil Services,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The Civil Services",,1 = A great deal; 2 = Quite a lot; 3 = Not very much; 4 = None at all; -1 = Don't know; -2 = No answer; -4 = Not asked; -5 = Missing; Not available,1 = A great deal (original 1); 2 = Quite a lot (original 2); 3 = Not very much (original 3); 4 = None at all (original 4),"Haven labelled values converted to an ordered factor, then ordered factors are converted to ordinal integers with negative missing codes set to NA.","Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q74-Confidence: The Civil Services,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q75,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",False,False,Not selected for display in Variable_Display_Logical.,factor_ordered,ordered numeric in indiv_ordinal; ordered factor in intermediate indiv,Confidence in universities,Confidence: Universities,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? Universities",,1 = A great deal; 2 = Quite a lot; 3 = Not very much; 4 = None at all; -1 = Don't know; -2 = No answer; -4 = Not asked; -5 = Missing; Not available,1 = A great deal (original 1); 2 = Quite a lot (original 2); 3 = Not very much (original 3); 4 = None at all (original 4),"Haven labelled values converted to an ordered factor, then ordered factors are converted to ordinal integers with negative missing codes set to NA.","Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q75-Confidence: Universities,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q76,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",False,False,Not selected for display in Variable_Display_Logical.,factor_ordered,ordered numeric in indiv_ordinal; ordered factor in intermediate indiv,Confidence in elections,Confidence: Election,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? Elections",,1 = A great deal; 2 = Quite a lot; 3 = Not very much; 4 = None at all; -1 = Don't know; -2 = No answer; -4 = Not asked; -5 = Missing; Unknown,1 = A great deal (original 1); 2 = Quite a lot (original 2); 3 = Not very much (original 3); 4 = None at all (original 4),"Haven labelled values converted to an ordered factor, then ordered factors are converted to ordinal integers with negative missing codes set to NA.","Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q76-Confidence: Election,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q77,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",False,False,Not selected for display in Variable_Display_Logical.,factor_ordered,ordered numeric in indiv_ordinal; ordered factor in intermediate indiv,Confidence in major companies,Confidence: Major Companies,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? Major Companies",,1 = A great deal; 2 = Quite a lot; 3 = Not very much; 4 = None at all; -1 = Don't know; -2 = No answer; -4 = Not asked; -5 = Missing; Unknown,1 = A great deal (original 1); 2 = Quite a lot (original 2); 3 = Not very much (original 3); 4 = None at all (original 4),"Haven labelled values converted to an ordered factor, then ordered factors are converted to ordinal integers with negative missing codes set to NA.","Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q77-Confidence: Major Companies,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q78,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",False,False,Not selected for display in Variable_Display_Logical.,factor_ordered,ordered numeric in indiv_ordinal; ordered factor in intermediate indiv,Confidence in banks,Confidence: Banks,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? Banks",,1 = A great deal; 2 = Quite a lot; 3 = Not very much; 4 = None at all; -1 = Don't know; -2 = No answer; -4 = Not asked; -5 = Missing; Unknown,1 = A great deal (original 1); 2 = Quite a lot (original 2); 3 = Not very much (original 3); 4 = None at all (original 4),"Haven labelled values converted to an ordered factor, then ordered factors are converted to ordinal integers with negative missing codes set to NA.","Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q78-Confidence: Banks,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q79,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",False,False,Not selected for display in Variable_Display_Logical.,factor_ordered,ordered numeric in indiv_ordinal; ordered factor in intermediate indiv,Confidence in environmental organizations,Confidence: The Environmental Protection Movement,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? Environmental organizations",,1 = A great deal; 2 = Quite a lot; 3 = Not very much; 4 = None at all; -1 = Don't know; -2 = No answer; -4 = Not asked; -5 = Missing; Not available,1 = A great deal (original 1); 2 = Quite a lot (original 2); 3 = Not very much (original 3); 4 = None at all (original 4),"Haven labelled values converted to an ordered factor, then ordered factors are converted to ordinal integers with negative missing codes set to NA.","Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q79-Confidence: The Environmental Protection Movement,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q80,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",False,False,Not selected for display in Variable_Display_Logical.,factor_ordered,ordered numeric in indiv_ordinal; ordered factor in intermediate indiv,Confidence in women's organizations,Confidence: The Women's Movement,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? Women's organizations",,1 = A great deal; 2 = Quite a lot; 3 = Not very much; 4 = None at all; -1 = Don't know; -2 = No answer; -4 = Not asked; -5 = Missing; Not available,1 = A great deal (original 1); 2 = Quite a lot (original 2); 3 = Not very much (original 3); 4 = None at all (original 4),"Haven labelled values converted to an ordered factor, then ordered factors are converted to ordinal integers with negative missing codes set to NA.","Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q80-Confidence: The Women's Movement,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q81,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",False,False,Not selected for display in Variable_Display_Logical.,factor_ordered,ordered numeric in indiv_ordinal; ordered factor in intermediate indiv,Confidence in charitable or humanitarian organizations,Confidence: Charitable or humanitarian organizations,"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? Charitable or humanitarian organizations",,1 = A great deal; 2 = Quite a lot; 3 = Not very much; 4 = None at all; -1 = Don't know; -2 = No answer; -4 = Not asked; -5 = Missing; Not available,1 = A great deal (original 1); 2 = Quite a lot (original 2); 3 = Not very much (original 3); 4 = None at all (original 4),"Haven labelled values converted to an ordered factor, then ordered factors are converted to ordinal integers with negative missing codes set to NA.","Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q81-Confidence: Charitable or humanitarian organizations,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q82,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",False,False,Not selected for display in Variable_Display_Logical.,factor_ordered,ordered numeric in indiv_ordinal; ordered factor in intermediate indiv,"Confidence in regional organizations (e.g., EU, AU, etc.)",Confidence: Major regional organization (combined from country-specific),"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? <major regional organization>",Variable tailoured to local context,1 = A great deal; 2 = Quite a lot; 3 = Not very much; 4 = None at all; -1 = Don't know; -2 = No answer; -4 = Not asked; -5 = Missing,1 = A great deal (original 1); 2 = Quite a lot (original 2); 3 = Not very much (original 3); 4 = None at all (original 4),"Haven labelled values converted to an ordered factor, then ordered factors are converted to ordinal integers with negative missing codes set to NA.","Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q82-Confidence: Major regional organization (combined from country-specific),WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q83,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",False,False,Not selected for display in Variable_Display_Logical.,factor_ordered,ordered numeric in indiv_ordinal; ordered factor in intermediate indiv,Confidence in the United Nations,Confidence: The United Nations (UN),"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The United Nations",,1 = A great deal; 2 = Quite a lot; 3 = Not very much; 4 = None at all; -1 = Don't know; -2 = No answer; -4 = Not asked; -5 = Missing; Not available,1 = A great deal (original 1); 2 = Quite a lot (original 2); 3 = Not very much (original 3); 4 = None at all (original 4),"Haven labelled values converted to an ordered factor, then ordered factors are converted to ordinal integers with negative missing codes set to NA.","Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q83-Confidence: The United Nations (UN),WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q84,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",False,False,Not selected for display in Variable_Display_Logical.,factor_ordered,ordered numeric in indiv_ordinal; ordered factor in intermediate indiv,Confidence in the International Monetary Fund (IMF),Confidence: International Monetary Found (IMF),"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The International Monetary Fund (IMF)",,1 = A great deal; 2 = Quite a lot; 3 = Not very much; 4 = None at all; -1 = Don't know; -2 = No answer; -4 = Not asked; -5 = Missing; Not available,1 = A great deal (original 1); 2 = Quite a lot (original 2); 3 = Not very much (original 3); 4 = None at all (original 4),"Haven labelled values converted to an ordered factor, then ordered factors are converted to ordinal integers with negative missing codes set to NA.","Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q84-Confidence: International Monetary Found (IMF),WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q85,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",False,False,Not selected for display in Variable_Display_Logical.,factor_ordered,ordered numeric in indiv_ordinal; ordered factor in intermediate indiv,Confidence in the International Criminal Court (ICC),Confidence: International Criminal Court (ICC),"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? International Criminal Court (ICC)",,1 = A great deal; 2 = Quite a lot; 3 = Not very much; 4 = None at all; -1 = Don't know; -2 = No answer; -4 = Not asked; -5 = Missing; Unknown,1 = A great deal (original 1); 2 = Quite a lot (original 2); 3 = Not very much (original 3); 4 = None at all (original 4),"Haven labelled values converted to an ordered factor, then ordered factors are converted to ordinal integers with negative missing codes set to NA.","Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q85-Confidence: International Criminal Court (ICC),WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q86,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",False,False,Not selected for display in Variable_Display_Logical.,factor_ordered,ordered numeric in indiv_ordinal; ordered factor in intermediate indiv,Confidence in NATO,Confidence: North Atlantic Treaty Organization (NATO),"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The North Atlantic Treaty Organization (NATO)",,1 = A great deal; 2 = Quite a lot; 3 = Not very much; 4 = None at all; -1 = Don't know; -2 = No answer; -4 = Not asked; -5 = Missing; Unknown,1 = A great deal (original 1); 2 = Quite a lot (original 2); 3 = Not very much (original 3); 4 = None at all (original 4),"Haven labelled values converted to an ordered factor, then ordered factors are converted to ordinal integers with negative missing codes set to NA.","Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q86-Confidence: North Atlantic Treaty Organization (NATO),WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
